Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,28.13,27.49,26.44,22.63,19.15,15.36,14.27,16.72,20.56,22.95,26.49,27.77
1981,28.33,27.26,24.75,23.55,18.27,14.61,14.66,16.38,20.55,22.63,24.32,27.45
1982,28.62,27.56,24.90,22.01,17.89,13.60,13.13,17.28,18.87,22.07,26.53,27.99
1983,28.06,29.30,26.01,20.77,18.39,15.09,13.32,16.69,20.72,23.27,25.26,27.20
1984,26.46,27.02,24.33,21.74,18.41,15.00,13.42,15.90,17.68,22.63,25.51,27.05
1985,28.49,28.18,26.49,22.02,18.27,14.25,14.28,16.62,18.63,22.12,25.41,26.87
1986,27.88,27.86,27.09,22.55,18.80,15.33,13.90,15.15,19.55,21.60,25.09,26.93
1987,27.93,26.89,24.78,22.95,17.91,15.91,14.32,15.89,19.41,22.34,25.61,27.27
1988,28.97,27.13,26.17,22.49,19.10,15.87,15.13,16.52,20.22,24.74,24.86,26.83
1989,27.67,27.74,25.43,22.27,18.84,14.04,13.68,14.62,19.46,22.97,24.91,27.31
1990,28.51,26.83,26.52,22.06,18.71,14.54,14.70,15.54,19.19,23.11,26.83,28.21
1991,28.27,27.95,25.84,22.37,18.53,16.74,14.62,16.22,19.71,24.22,25.45,26.90
1992,27.62,27.55,26.50,22.82,18.42,15.25,14.84,16.06,18.79,22.04,23.98,26.44
1993,28.41,26.99,25.70,23.26,18.75,14.91,15.18,16.56,19.19,22.02,25.79,26.51
1994,28.68,27.18,24.88,22.00,18.43,15.07,14.57,15.57,19.35,23.21,25.52,27.96
1995,28.09,26.75,24.93,21.32,17.64,15.35,14.51,17.02,20.17,22.55,25.65,26.58
1996,27.93,27.51,25.58,21.79,18.39,16.94,14.97,16.48,19.68,23.10,25.24,26.99
1997,27.35,27.93,24.76,22.04,17.81,14.87,13.58,15.76,20.12,23.14,25.86,27.89
1998,28.57,28.42,26.63,22.38,19.23,15.47,14.42,17.33,20.30,23.25,25.27,27.08
1999,28.94,27.18,25.89,21.02,18.94,15.35,14.79,16.65,20.42,23.14,23.78,25.94
2000,26.92,27.09,25.20,21.70,16.79,14.13,14.74,15.84,20.74,22.18,25.31,26.94
2001,28.87,27.40,24.63,22.03,17.46,15.60,14.42,15.87,19.87,21.35,24.55,26.15
2002,27.66,26.37,25.74,23.58,19.19,15.24,14.54,16.08,20.01,23.47,26.59,27.80
2003,28.51,27.95,25.07,22.71,18.91,15.66,14.93,16.30,20.17,22.06,25.82,27.85
2004,28.22,27.95,25.63,22.84,17.83,15.56,14.38,15.71,18.91,24.22,25.49,27.41
2005,28.24,27.75,26.51,24.32,19.13,15.79,15.06,16.13,20.05,23.53,25.85,27.77
2006,28.81,27.57,26.02,21.16,16.97,13.71,13.91,16.70,20.18,23.77,26.60,26.94
2007,27.56,28.49,25.70,22.66,19.41,13.29,14.23,16.62,20.16,23.64,25.71,26.81
2008,28.76,26.48,25.68,21.39,18.06,15.60,14.16,14.81,20.17,23.91,24.81,26.82
2009,28.13,27.38,25.73,22.28,17.69,15.29,14.62,17.52,20.07,22.76,26.67,27.61
2010,28.23,27.57,25.45,22.87,17.91,14.81,14.51,15.50,18.86,21.84,24.51,26.19
2011,28.36,26.66,24.25,21.40,16.71,14.39,14.67,16.83,19.26,22.97,25.53,26.64
2012,27.97,26.84,24.46,21.99,17.41,14.47,13.74,16.17,20.14,23.37,26.52,28.11
2013,29.48,27.93,26.13,23.05,18.97,15.60,15.47,17.43,21.53,23.97,25.76,27.64
2014,28.84,27.38,26.30,23.05,19.64,15.44,14.50,16.02,20.31,24.48,26.94,27.89
2015,27.89,28.88,26.20,21.37,17.81,16.18,14.53,16.49,19.33,24.78,27.00,27.96
2016,28.35,28.29,27.02,23.82,19.71,16.14,14.98,16.27,19.01,22.20,25.80,27.64
2017,28.61,27.76,26.95,22.01,18.64,15.34,15.68,16.82,20.31,23.96,25.93,28.10
2018,29.11,28.04,26.33,23.94,18.20,15.18,15.23,15.80,19.58,24.25,25.85,28.75
2019,30.02,28.25,27.09,22.97,18.49,15.12,15.52,16.01,19.99,24.45,26.16,29.78
2020,29.00,28.14,26.03,23.43,17.37,15.90,14.91,17.01,21.29,23.47,27.33,27.20
2021,28.15,27.16,25.62,22.08,18.44,15.16,15.57,17.02,19.99,23.28,24.56,27.93
